id,event_id,issue,date,pdf,html
1201000e,1995-INC-11,1,1995-02-06,http://www.iisd.ca/download/pdf/enb1201e.pdf,http://www.iisd.ca/vol12/1201000e.html
1202000e,1995-INC-11,2,1995-02-07,http://www.iisd.ca/download/pdf/enb1202e.pdf,http://www.iisd.ca/vol12/1202000e.html
1203000e,1995-INC-11,3,1995-02-08,http://www.iisd.ca/download/pdf/enb1203e.pdf,http://www.iisd.ca/vol12/1203000e.html
1204000e,1995-INC-11,4,1995-02-09,http://www.iisd.ca/download/pdf/enb1204e.pdf,http://www.iisd.ca/vol12/1204000e.html
1205000e,1995-INC-11,5,1995-02-10,http://www.iisd.ca/download/pdf/enb1205e.pdf,http://www.iisd.ca/vol12/1205000e.html
1206000e,1995-INC-11,6,1995-02-13,http://www.iisd.ca/download/pdf/enb1206e.pdf,http://www.iisd.ca/vol12/1206000e.html
1207000e,1995-INC-11,7,1995-02-14,http://www.iisd.ca/download/pdf/enb1207e.pdf,http://www.iisd.ca/vol12/1207000e.html
1208000e,1995-INC-11,8,1995-02-15,http://www.iisd.ca/download/pdf/enb1208e.pdf,http://www.iisd.ca/vol12/1208000e.html
1209000e,1995-INC-11,9,1995-02-16,http://www.iisd.ca/download/pdf/enb1209e.pdf,http://www.iisd.ca/vol12/1209000e.html
1210000e,1995-INC-11,10,1995-02-17,http://www.iisd.ca/download/pdf/enb1210e.pdf,http://www.iisd.ca/vol12/1210000e.html
1211000e,1995-INC-11,11,1995-02-17,http://www.iisd.ca/download/pdf/enb1211e.pdf,http://www.iisd.ca/vol12/1211000e.html
1212000e,1995-COP-1,12,1995-03-28,http://www.iisd.ca/download/pdf/enb1212e.pdf,http://www.iisd.ca/vol12/1212000e.html
1213000e,1995-COP-1,13,1995-03-29,http://www.iisd.ca/download/pdf/enb1213e.pdf,http://www.iisd.ca/vol12/1213000e.html
1214000e,1995-COP-1,14,1995-03-30,http://www.iisd.ca/download/pdf/enb1214e.pdf,http://www.iisd.ca/vol12/1214000e.html
1215000e,1995-COP-1,15,1995-03-31,http://www.iisd.ca/download/pdf/enb1215e.pdf,http://www.iisd.ca/vol12/1215000e.html
1216000e,1995-COP-1,16,1995-04-03,http://www.iisd.ca/download/pdf/enb1216e.pdf,http://www.iisd.ca/vol12/1216000e.html
1217000e,1995-COP-1,17,1995-04-04,http://www.iisd.ca/download/pdf/enb1217e.pdf,http://www.iisd.ca/vol12/1217000e.html
1218000e,1995-COP-1,18,1995-04-05,http://www.iisd.ca/download/pdf/enb1218e.pdf,http://www.iisd.ca/vol12/1218000e.html
1219000e,1995-COP-1,19,1995-04-06,http://www.iisd.ca/download/pdf/enb1219e.pdf,http://www.iisd.ca/vol12/1219000e.html
1220000e,1995-COP-1,20,1995-04-07,http://www.iisd.ca/download/pdf/enb1220e.pdf,http://www.iisd.ca/vol12/1220000e.html
