id,short_name,name,start_date,end_date,city,country
1995-INC-11,INC 11,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC),1995-02-06,1995-02-17,New York,USA
1995-COP-1,COP 1,First Conference of the Parties to the Framework Convention on Climate Change,1995-03-28,1995-04-07,Berlin,Germany
1995-AGBM-1,AGBM 1,First Session of the Ad Hoc Group on the Berlin Mandate,1995-08-21,1995-08-25,Geneva,Switzerland
1995-SB-1,SB 1,First Session Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1995-08-28,1995-09-01,Geneva,Switzerland
1995-AGBM-2,AGBM 2,Second Session of the Ad Hoc Group on the Berlin Mandate,1995-10-30,1995-11-03,Geneva,Switzerland
1995-FCCC-1995,FCCC 1995,Year- End Update on the Framework Convention on Climate Change 1995,1995-12,1995-12,,
1996-SB-3,SB 3,Second Session Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1996-02-27,1996-03-04,Geneva,Switzerland
1996-AGBM-3,AGBM 3,Third Session of the Ad Hoc Group on the Berlin Mandate,1996-03-05,1996-03-08,Geneva,Switzerland
1996-COP-2,COP 2,Second Conference of the Parties to the Framework Convention on Climate Change,1996-07-08,1996-07-19,Geneva,Switzerland
1996-SB-4-AGBM-5-AG13-3,SB 4 - AGBM 5 - AG13 3,Fifth Session of the Ad Hoc Group on the Berlin Mandate Fourth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1996-12-09,1996-12-18,Geneva,Switzerland
1997-SB-5-AG13-4,SB 5 - AG13 4,Fifth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1997-02-25,1997-02-28,Bonn,Germany
1997-AGBM-6,AGBM 6,Sixth Session of the Ad Hoc Group on the Berlin Mandate,1997-03-03,1997-03-07,Bonn,Germany
1997-SB-6-AG13-5,SB 6 - AG13 5,Sixth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1997-07-28,1997-07-31,Bonn,Germany
1997-AGBM-7,AGBM 7,Seventh Session of the Ad Hoc Group on the Berlin Mandate,1997-07-28,1997-08-07,Bonn,Germany
1997-SB-7,SB 7,Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate,1997-10-20,1997-10-31,Bonn,Germany
1997-COP-3,COP 3,Third Conference of the Parties to the Framework Convention on Climate Change,1997-12-01,1997-12-11,Kyoto,Japan
1998-SB-8,SB 8,Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1998-06-02,1998-06-12,Bonn,Germany
1998-COP-4,COP 4,Fourth Conference of the Parties to the Framework Convention on Climate Change,1998-11-02,1998-11-13,Buenos Aires,Argentina
1999-Tech-Work,Tech-Work,Technical Workshop on Mechanisms under the Kyoto Protocol,1999-04-09,1999-04-15,Bonn / Bad Godesberg,Germany
1999-SB-10,SB 10,Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI),1999-05-31,1999-06-11,Bonn,Germany
1999-CCOM1,CCOM1,Informal Exchange of Views and Information on Compliance Under the Kyoto Protocol,1999-10-09,1999-10-09,Vienna,Austria
1999-COP-5,COP 5,Fifth Conference of the Parties to the UN Framework Convention on Climate Change,1999-10-25,1999-11-08,Bonn,Germany
2000-UNFCCC-WS-KP,UNFCCC WS KP,UNFCCC WORKSHOP ON COMPLIANCE UNDER THE KYOTO PROTOCOL,2000-03-06,2000-03-06,Bonn,Germany
2000-UNFCCC-WS-4.8-4.9,UNFCCC WS 4.8-4.9,UNFCCC WORKSHOPS ON CONVENTION ARTICLE 4.8 AND 4.9 (ADVERSE EFFECTS),2000-03-17,2000-03-17,Bonn,Germany
2000-UNFCCC-BPPM,UNFCCC BPPM,UNFCCC WORKSHOP ON BEST PRACTICES IN POLICIES AND MEASURES,2000-04-15,2000-04-15,Copenhagen,Denmark
2000-SB-12,SB 12,TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC,2000-06-05,2000-06-19,Bonn,Germany
2000-LULUCF,LULUCF,"Workshop on Land- Use, Land- Use Change and Forestry",2000-07-11,2000-07-17,Poznañ,Poland
2000-SB-13,SB 13,Thirteenth Session of the Subsidiary Bodies of the UNFCCC,2000-09-05,2000-09-18,Lyon,France
2000-COP-6,COP 6,Sixth Conference of the Parties to the UN Framework Convention on Climate Change,2000-11-13,2000-11-27,The Hague,The Netherlands
2001-INTER-REGIONAL-WS,INTER-REGIONAL WS,INTER- REGIONAL WORKSHOP OF THE CONSULTATIVE GROUP OF EXPERTS ON INITIAL NATIONAL COMMUNICATIONS FROM PARTIES NOT INCLUDED IN ANNEX I TO THE CONVENTION,2001-03-26,2001-03-26,Panama City,Panama
2001-IPCC-17,IPCC-17,Seventeenth session of the Intergovernmental Panel on Climate Change (IPCC),2001-04-09,2001-04-09,Nairobi,Kenya
2001-COP-6-BIS,COP 6 BIS,SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION,2001-07-16,2001-07-30,Bonn,Germany
2001-IPCC-18,IPCC-18,IPCC- 18,2001-10-02,2001-10-02,London,UK
2001-COP-7,COP 7,Seventh Conference of the Parties to the UN Framework Convention on Climate Change,2001-10-29,2001-11-12,Marrakech,Morocco
2002-CGE-WS,CGE WS,The Consultative Group of Experts (CGE) on National Communications from Non- Annex I Parties,2002-04-15,2002-04-15,Bonn,Germany
2002-TECH-WS,TECH WS,Expert meeting on methodologies for technology needs assessments,2002-04-26,2002-04-26,Seoul,Republic of Korea
2002-SB-16,SB 16,Sixteenth Sessions of the Subsidiary Bodies,2002-06-05,2002-06-17,Bonn,Germany
2002-COP-8,COP 8,Eighth Conference of the Parties to the UN Framework Convention on Climate Change,2002-10-23,2002-11-04,New Delhi,India
2003-UNFCCC-TT-WS,UNFCCC TT WS,UNFCCC Workshop on enabling environments for technology transfer,2003-04-11,2003-04-11,Ghent,Belgium
2003-SB-18,SB 18,18th Session of the Subsidiary Bodies,2003-06-04,2003-06-16,Bonn,Germany
2003-UNFCCC-SYN-COOP-WS,UNFCCC SYN-COOP WS,Workshop on synergies and cooperation with other conventions,2003-07-02,2003-07-04,Espoo,Finland
2003-COP-9,COP 9,Ninth Conference of the Parties to the UN Framework Convention on Climate Change,2003-12-01,2003-12-15,Milan,Italy
2004-UNFCCC-WS-PC,UNFCCC WS PC,United Nations Framework Convention on Climate Change (UNFCCC) workshop on the preparation of national communications from non- Annex I Parties,2004-05-03,2004-05-03,Manila,the Philippines
2004-SB-20,SB-20,Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change,2004-06-16,2004-06-28,Bonn,Germany
2004-UNFCCC-WS-EP,UNFCCC WS EP,United Nations Framework Convention on Climate Change (UNFCCC) workshop on emissions projections from Parties included in Annex I of the UNFCCC,2004-09-10,2004-09-10,Bonn,Germany
